"name","count","Den","RD","Fr","RF","Do","RDo","ivi"
"大葉桃花心木","16","4","55.1724137931034","1","19.047619047619","106.164911125","98.7822415699311","173.002274410654"
"山棕","1","0.25","3.44827586206897","0.5","9.52380952380952","0.38465","0.357901578000064","13.3299869638786"
"瑪瑙珠","2","0.5","6.89655172413793","0.75","14.2857142857143","0.0078500490625","0.00730415948744747","21.1895701693397"
"九節木","1","0.25","3.44827586206897","0.25","4.76190476190476","7.85e-07","7.30411383673599e-07","8.21018135438511"
"變葉木","2","0.5","6.89655172413793","0.5","9.52380952380952","2.2765e-05","2.11819301265344e-05","16.4203824298776"
"小毛蕨","1","0.25","3.44827586206897","0.25","4.76190476190476","0.8654625","0.805278550500143","9.01545917447387"
"鐵線蓮","1","0.25","3.44827586206897","0.25","4.76190476190476","0.0490625","0.0456507114795999","8.25583133545333"
"菝契","1","0.25","3.44827586206897","0.25","4.76190476190476","4.90625e-08","4.56507114795999e-08","8.21018066962444"
"姑婆芋","1","0.25","3.44827586206897","0.5","9.52380952380952","8.24740625e-05","7.67388459972075e-05","12.9721621247245"
"海金沙","1","0.25","3.44827586206897","0.5","9.52380952380952","0.001589625","0.00147908305193904","12.9735644689304"
"台灣山桂花","1","0.25","3.44827586206897","0.25","4.76190476190476","4.90625e-06","4.56507114795999e-06","8.21018518904487"
"合果芋","1","0.25","3.44827586206897","0.25","4.76190476190476","4.415625e-05","4.10856403316399e-05","8.21022170961406"
